ID: 52   Token: ARROW            Lexema: ->                    Línea: 53  Columna: 48
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 53  Columna: 51
ID: 53   Token: IDENT            Lexema: res                   Línea: 54  Columna: 25
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 54  Columna: 29
ID: 53   Token: IDENT            Lexema: a                     Línea: 54  Columna: 31
ID: 8    Token: DIV              Lexema: /                     Línea: 54  Columna: 33
ID: 53   Token: IDENT            Lexema: b                     Línea: 54  Columna: 35
ID: 4    Token: ENDL             Lexema: endl                  Línea: 54  Columna: 37
ID: 33   Token: SHOW             Lexema: show                  Línea: 55  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "a / b ="             Línea: 55  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 55  Columna: 40
ID: 33   Token: SHOW             Lexema: show                  Línea: 56  Columna: 25
ID: 53   Token: IDENT            Lexema: res                   Línea: 56  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 56  Columna: 34
ID: 51   Token: RBRACE           Lexema: !                     Línea: 57  Columna: 21
ID: 53   Token: IDENT            Lexema: op                    Línea: 58  Columna: 21
ID: 18   Token: EQ               Lexema: ==                    Línea: 58  Columna: 24
ID: 54   Token: INT_LIT          Lexema: 4                     Línea: 58  Columna: 27
ID: 52   Token: ARROW            Lexema: ->                    Línea: 58  Columna: 29
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 58  Columna: 32
ID: 33   Token: SHOW             Lexema: show                  Línea: 59  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "Error: division por cero"  Línea: 59  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 59  Columna: 57
ID: 51   Token: RBRACE           Lexema: !                     Línea: 60  Columna: 21
ID: 25   Token: ELSE             Lexema: else                  Línea: 61  Columna: 21
ID: 52   Token: ARROW            Lexema: ->                    Línea: 61  Columna: 26
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 61  Columna: 29
ID: 33   Token: SHOW             Lexema: show                  Línea: 62  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "Opcion invalida"     Línea: 62  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 62  Columna: 48
ID: 51   Token: RBRACE           Lexema: !                     Línea: 63  Columna: 21
ID: 26   Token: END              Lexema: end                   Línea: 64  Columna: 17
ID: 23   Token: DECIDE           Lexema: decide                Línea: 64  Columna: 21
ID: 4    Token: ENDL             Lexema: endl                  Línea: 64  Columna: 28
ID: 53   Token: IDENT            Lexema: par                   Línea: 66  Columna: 17
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 66  Columna: 21
ID: 53   Token: IDENT            Lexema: isEven                Línea: 66  Columna: 23
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 66  Columna: 30
ID: 53   Token: IDENT            Lexema: op                    Línea: 66  Columna: 32
ID: 49   Token: RPAR             Lexema: ?                     Línea: 66  Columna: 35
ID: 4    Token: ENDL             Lexema: endl                  Línea: 66  Columna: 37
ID: 33   Token: SHOW             Lexema: show                  Línea: 67  Columna: 17
ID: 57   Token: STRING_LIT       Lexema: "op es par? (bool):"  Línea: 67  Columna: 22
ID: 4    Token: ENDL             Lexema: endl                  Línea: 67  Columna: 43
ID: 33   Token: SHOW             Lexema: show                  Línea: 68  Columna: 17
ID: 53   Token: IDENT            Lexema: par                   Línea: 68  Columna: 22
ID: 4    Token: ENDL             Lexema: endl                  Línea: 68  Columna: 26
ID: 51   Token: RBRACE           Lexema: !                     Línea: 69  Columna: 13
ID: 25   Token: ELSE             Lexema: else                  Línea: 70  Columna: 13
ID: 52   Token: ARROW            Lexema: ->                    Línea: 70  Columna: 18
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 70  Columna: 21
ID: 51   Token: RBRACE           Lexema: !                     Línea: 72  Columna: 13
ID: 26   Token: END              Lexema: end                   Línea: 73  Columna: 9
ID: 23   Token: DECIDE           Lexema: decide                Línea: 73  Columna: 13
ID: 4    Token: ENDL             Lexema: endl                  Línea: 73  Columna: 20
ID: 28   Token: EXIT             Lexema: exit                  Línea: 75  Columna: 9
ID: 29   Token: WHEN             Lexema: when                  Línea: 75  Columna: 14
ID: 53   Token: IDENT            Lexema: op                    Línea: 75  Columna: 19
ID: 18   Token: EQ               Lexema: ==                    Línea: 75  Columna: 22
ID: 54   Token: INT_LIT          Lexema: 0                     Línea: 75  Columna: 25
ID: 4    Token: ENDL             Lexema: endl                  Línea: 75  Columna: 27
ID: 26   Token: END              Lexema: end                   Línea: 77  Columna: 5
ID: 27   Token: LOOP             Lexema: loop                  Línea: 77  Columna: 9
ID: 4    Token: ENDL             Lexema: endl                  Línea: 77  Columna: 14
ID: 51   Token: RBRACE           Lexema: !                     Línea: 78  Columna: 1
